冷たい;ツメタイ
ベッド;ベッド
絵;エ
歌う;ウタウ
コーヒー;コーヒー
弟;オトウト
宜しい;ヨロシイ
妹;イモウト
午後;ゴゴ
狭い;セマイ
寒い;サムイ
御免;ゴメン
白;シラ
北;キタ
春;ハル
忙しい;イソガシイ
風呂;フロ
外国;ガイコク
どうぞ;ドウゾ
雑誌;ザッシ
さあ;サア
辺;ヘン
吸う;スウ
履く;ハク
休む;ヤスム
庭;ニワ
玄関;ゲンカン
ええ;エエ
男の子;オトコノコ
冬;フユ
御腹;オナカ
音楽;オンガク
兄弟;キョウダイ
動物;ドウブツ
貸す;カス
昼;ヒル
トイレ;トイレ
着く;ツク
細い;ホソイ
肉;ニク
建物;タテモノ
掃除;ソウジ
電気;デンキ
橋;ハシ
秋;アキ
御飯;ゴハン
暇;ヒマ
階段;カイダン
大好き;ダイスキ
熱い;アツイ
鳥;トリ
赤;アカ
被る;コウムル
午前;ゴゼン
鍵;カギ
荷物;ニモツ
洗濯;センタク
東;ヒガシ
コピー;コピー
時計;トケイ
杯;ハイ
ニュース;ニュース
匹;ヒキ
一日;ツイタチ
立派;リッパ
暑い;アツイ
公園;コウエン
机;ツクエ
便利;ベンリ
下手;ヘタ
門;モン
西;ニシ
太い;フトイ
文章;ブンショウ
段々;ダンダン
アパート;アパート
夕方;ユウガタ
戸;ト
卵;タマゴ
彼処;カシコ
撮る;トル
ノート;ノート
上手;ジョウズ
カメラ;カメラ
菓子;カシ
緑;ミドリ
買い物;カイモノ
青い;アオイ
シャツ;シャツ
南;ミナミ
タクシー;タクシー
降る;フル
嫌う;キラウ
初め;ハジメ
靴;クツ
入り口;イリグチ
廊下;ロウカ
練習;レンシュウ
クラス;クラス
並べる;ナラベル
速い;ハヤイ
晩;バン
彼方;カナタ
眼鏡;メガネ
不味い;マズイ
スポーツ;スポーツ
勤める;ツトメル
日曜;ニチヨウ
テープ;テープ
ポケット;ポケット
去年;キョネン
吹く;フク
曲がる;マガル
浴びる;アビル
食べ物;タベモノ
ラジオ;ラジオ
青;アオ
真っ直ぐ;マッスグ
汚い;キタナイ
教室;キョウシツ
角;カク
風邪;カゼ
脱ぐ;ヌグ
丸い;マルイ
危ない;アブナイ
登る;ノボル
無くす;ナクス
散歩;サンポ
皿;サラ
大勢;オオゼイ
キロメートル;キロメートル
地図;チズ
土曜;ドヨウ
毎年;マイトシ
野菜;ヤサイ
洋服;ヨウフク
レストラン;レストラン
厚い;アツイ
生徒;セイト
台所;ダイドコロ
いいえ;イイエ
泳ぐ;オヨグ
池;イケ
毎月;マイツキ
ペン;ペン
差す;サス
ボタン;ボタン
昨夜;サクヤ
カレー;カレー
弁当;ベントウ
天気;テンキ
パーティー;パーティー
来年;ライネン
漢字;カンジ
今朝;ケサ
暖かい;アタタカイ
カップ;カップ
磨く;ミガク
